No.,Batch Name,トリガーのサービス名,サブサービス,サービス3,サービス4,　リポジトリ,SQL No,SQL,対象レコード数,実行時間 ３回平均(Mysql5.7),実行時間 ３回平均(Mysql8.0),"ステータス
手動実行","ステータス
定期実行",手動実行コマンド,5系終了,8系終了(SQL実行のみ),エラーメモ,ローカル起動メモ,,
205,,,,,,,SQL35,"SELECT
    COUNT(orders0_.id) AS col_0_0_ 
FROM
    smaad_main.orders orders0_ 
WHERE
    orders0_.zone_id = '581041721'
    AND orders0_.user = ''
    AND (
        orders0_.deleted IS NULL
    );
",1 row(s),,0.027 sec,,,,,,,,,
206,,,,,,,SQL36,"SELECT
    urllink0_.id AS id1_43_,
    urllink0_.created_at AS created_2_43_,
    urllink0_.created_user AS created_3_43_,
    urllink0_.updated_at AS updated_4_43_,
    urllink0_.updated_user AS updated_5_43_,
    urllink0_.url AS url6_43_ 
FROM
    offerwall_production.url_links urllink0_ 
WHERE
    urllink0_.id IN (5);",6 row(s),,0.036 sec,,,,,,,,,
207,,,,,,,SQL37,"SELECT
    contenttab0_.id AS id1_19_,
    contenttab0_.created_at AS created_2_19_,
    contenttab0_.created_user AS created_3_19_,
    contenttab0_.updated_at AS updated_4_19_,
    contenttab0_.updated_user AS updated_5_19_,
    contenttab0_.display_title AS display_6_19_,
    contenttab0_.more_button_type AS more_but7_19_,
    contenttab0_.number_list_layer AS number_l8_19_,
    contenttab0_.quantity AS quantity9_19_,
    contenttab0_.scroll_tab_type AS scroll_10_19_,
    contenttab0_.title AS title11_19_ 
FROM
    offerwall_production.content_tabs contenttab0_ 
WHERE
    contenttab0_.id IN (53, 52);
",2 row(s),,0.024 sec,,,,,,,,,
208,,,,,,,SQL38,"SELECT
    contenttab0_.id AS id1_18_,
    contenttab0_.created_at AS created_2_18_,
    contenttab0_.created_user AS created_3_18_,
    contenttab0_.updated_at AS updated_4_18_,
    contenttab0_.updated_user AS updated_5_18_,
    contenttab0_.accept_tag_names AS accept_t6_18_,
    contenttab0_.ad_course_count_selection AS ad_cours7_18_,
    contenttab0_.content_tab_id AS content_8_18_,
    contenttab0_.filter_free_ad AS filter_f9_18_,
    contenttab0_.filter_platform_type AS filter_10_18_,
    contenttab0_.pickup_id AS pickup_11_18_,
    contenttab0_.position AS positio12_18_,
    contenttab0_.sort_type AS sort_ty13_18_,
    contenttab0_.status AS status14_18_,
    contenttab0_.tab_name AS tab_nam15_18_,
    contenttab0_.tag_name_select_type AS tag_nam16_18_,
    contenttab0_.title AS title17_18_ 
FROM
    offerwall_production.content_tab_columns contenttab0_ 
WHERE
    contenttab0_.content_tab_id IN (53, 52);",6 row(s),,0.023 sec,,,,,,,,,
209,,,,,,,SQL39,"SELECT
    SUBSTRING_INDEX(GROUP_CONCAT(r.id ORDER BY RAND()), ',', 1) AS recommend_id,
    r.contentable_type AS contentable_type,
    r.ad_id AS ad_id,
    r.ad_size_id AS ad_size_id,
    r.linkable_type AS linkable_type,
    r.linkable_id AS linkable_id,
    r.template_select_type   
FROM
    offerwall_production.recommends AS r   
LEFT JOIN
    offerwall_production.recommend_templates AS rt 
    ON r.id = rt.recommend_id   
WHERE
    (
        rt.template_id = 51 
        OR r.template_select_type = 'all' 
    )       
    AND r.contentable_type = 'ContentSlider'       
    AND r.publish_country = 'JP'       
    AND (
        r.ad_id NOT IN (
            725872009, 800563287, 956027147, 418557813, 463683307, 
            201152675, 450283990, 617147493, 164724663, 308965857, 
            719773778, 594605452
        ) 
        OR r.ad_id IS NULL
    )       
    AND r.deleted = 0       
    AND (
        (
            r.start_at IS NULL 
            AND r.end_at IS NULL
        )           
        OR (
            r.start_at IS NULL 
            AND r.end_at >= CURRENT_TIMESTAMP()
        )           
        OR (
            r.start_at <= CURRENT_TIMESTAMP() 
            AND r.end_at IS NULL
        )           
        OR (
            CURRENT_TIMESTAMP() BETWEEN r.start_at AND r.end_at
        )       
    )   
GROUP BY
    ad_id,
    ad_size_id,
    linkable_type,
    linkable_id,
    r.template_select_type   
ORDER BY
    RAND();",2 row(s),,0.024 sec,,,,,,,,,
210,,,,,,,SQL40,"SELECT
    SUBSTRING_INDEX(GROUP_CONCAT(r.id ORDER BY RAND()), ',', 1) AS recommend_id,
    r.contentable_type AS contentable_type,
    r.ad_id AS ad_id,
    r.ad_size_id AS ad_size_id,
    r.linkable_type AS linkable_type,
    r.linkable_id AS linkable_id,
    r.template_select_type   
FROM
    offerwall_production.recommends AS r   
LEFT JOIN
    offerwall_production.recommend_templates AS rt 
    ON r.id = rt.recommend_id   
WHERE
    (
        rt.template_id = 'e74488d3-5608-11ef-bdfd-d1439152cf50'
        OR r.template_select_type = 'all' 
    )       
    AND r.contentable_type = 'ContentCarousel'       
    AND r.publish_country = 'JP'       
    AND r.ad_size_id IN (9)       
    AND r.deleted = 0       
    AND (
        (
            r.start_at IS NULL 
            AND r.end_at IS NULL
        )           
        OR (
            r.start_at IS NULL 
            AND r.end_at >= CURRENT_TIMESTAMP()
        )           
        OR (
            r.start_at <= CURRENT_TIMESTAMP() 
            AND r.end_at IS NULL
        )           
        OR (
            CURRENT_TIMESTAMP() BETWEEN r.start_at AND r.end_at
        )       
    )   
GROUP BY
    ad_id,
    ad_size_id,
    linkable_type,
    linkable_id,
    r.template_select_type   
ORDER BY
    RAND();",0 row(s),,0.054 sec,,,,,,,,,
211,,,,,,,SQL41,"SELECT
    contentbut0_.id AS id1_6_,
    contentbut0_.created_at AS created_2_6_,
    contentbut0_.created_user AS created_3_6_,
    contentbut0_.updated_at AS updated_4_6_,
    contentbut0_.updated_user AS updated_5_6_,
    contentbut0_.ad_course_count_selection AS ad_cours6_6_,
    contentbut0_.ad_id AS ad_id7_6_,
    contentbut0_.ad_size_id AS ad_size_8_6_,
    contentbut0_.banner_type AS banner_t9_6_,
    contentbut0_.content_button_id AS content10_6_,
    contentbut0_.end_at AS end_at11_6_,
    contentbut0_.is_recommend AS is_reco12_6_,
    contentbut0_.linkable_id AS linkabl13_6_,
    contentbut0_.linkable_type AS linkabl14_6_,
    contentbut0_.position AS positio15_6_,
    contentbut0_.size_type AS size_ty16_6_,
    contentbut0_.start_at AS start_a17_6_,
    contentbut0_.status AS status18_6_,
    contentbut0_.title AS title19_6_,
    contentbut0_.wall_feature_type AS wall_fe20_6_ 
FROM
    offerwall_production.content_button_columns contentbut0_ 
WHERE
    contentbut0_.content_button_id IN (
        '2db344a2-0d07-11ef-8864-cd4aa555a90c', 
        '2db344b0-0d07-11ef-8864-cd4aa555a90c', 
        '6937fea4-0cf6-11ef-8864-cd4aa555a90c'
    );
",16 row(s),,0.031 sec,,,,,,,,,
212,,,,,,,SQL42,"SELECT
    contentcar0_.id AS id1_9_,
    contentcar0_.created_at AS created_2_9_,
    contentcar0_.created_user AS created_3_9_,
    contentcar0_.updated_at AS updated_4_9_,
    contentcar0_.updated_user AS updated_5_9_,
    contentcar0_.display_title AS display_6_9_,
    contentcar0_.more_button_type AS more_but7_9_,
    contentcar0_.number_list_layer AS number_l8_9_,
    contentcar0_.subtitle AS subtitle9_9_,
    contentcar0_.title AS title10_9_ 
FROM
    offerwall_production.content_cards contentcar0_ 
WHERE
    contentcar0_.id IN (
        '4ceaba5d-b98e-11ee-a631-0fdbd687721a', 
        '8fea2708-bbeb-11ee-9f7a-792b15070c9d'
    );
",2 row(s),,0.043 sec,,,,,,,,,
213,,,,,,,SQL43,"SELECT
    contentcar0_.id AS id1_8_,
    contentcar0_.created_at AS created_2_8_,
    contentcar0_.created_user AS created_3_8_,
    contentcar0_.updated_at AS updated_4_8_,
    contentcar0_.updated_user AS updated_5_8_,
    contentcar0_.accept_tag_names AS accept_t6_8_,
    contentcar0_.ad_course_count_selection AS ad_cours7_8_,
    contentcar0_.button_text AS button_t8_8_,
    contentcar0_.content_card_id AS content_9_8_,
    contentcar0_.description AS descrip10_8_,
    contentcar0_.filter_free_ad AS filter_11_8_,
    contentcar0_.filter_platform_type AS filter_12_8_,
    contentcar0_.linkable_id AS linkabl13_8_,
    contentcar0_.linkable_type AS linkabl14_8_,
    contentcar0_.sort_type AS sort_ty15_8_,
    contentcar0_.status AS status16_8_,
    contentcar0_.tag_name_select_type AS tag_nam17_8_,
    contentcar0_.title AS title18_8_ 
FROM
    offerwall_production.content_card_columns contentcar0_ 
WHERE
    contentcar0_.content_card_id IN (
        '4ceaba5d-b98e-11ee-a631-0fdbd687721a', 
        '8fea2708-bbeb-11ee-9f7a-792b15070c9d'
    );
",2 row(s),,0.039 sec,,,,,,,,,
214,,,,,,,SQL44,"    SELECT
        w.id AS id,
        ac.id AS account_id,
        CONCAT(ac.id,
        ' ',
        ac.`name`) AS account_info,
        m.id AS media_id,
        CONCAT(m.id,
        ' ',
        m.`name`) AS media_info,
        z.id AS zone_id,
        CONCAT(z.id,
        ' ',
        z.`name`) AS zone_info,
        w.wall_title AS wall_title,
        CONCAT(ROUND(ml.pay_ratio,
        1),
        '%') AS pay_ratio,
        CONCAT(ml.coin_rate,
        'コインあたり',
        ml.yen_rate,
        '円') AS rate_info,
        (CASE           
            WHEN ml.round_type = 1 THEN '切り捨て'          
            WHEN ml.round_type = 2 THEN '切り上げ'          
            WHEN ml.round_type = 3 THEN '四捨五入'          
            ELSE NULL       
        END) AS round_type,
        w.banner_img_url AS banner_img_url,
        w.banner_link_url AS banner_img_link,
        IF (w.coin_name IS NULL,
        '',
        w.coin_name) AS coin_name,
        z.is_test AS zone_test,
        ml.id AS media_linkage_id,
        z.publish_country AS publish_country  
    FROM
        smaad_main.wall AS w      
    INNER JOIN
        smaad_main.zone AS z 
            ON z.id = w.zone_id      
    INNER JOIN
        smaad_main.media AS m 
            ON m.id = z.media_id      
    INNER JOIN
        smaad_main.account AS ac 
            ON ac.id = m.account_id      
    LEFT JOIN
        smaad_main.media_linkage AS ml 
            ON ml.zone_id = z.id  
    WHERE
        w.id IN (
            4, 5, 13, 24, 33, 35, 47, 58, 63, 99, 102, 114, 140, 150, 156, 172, 211, 213, 214, 215, 218, 220, 221, 222, 223, 224, 225, 226, 227, 229, 230, 231, 233, 234, 235, 238, 239, 241, 242, 243, 244, 245, 246, 247, 249, 250, 251, 253, 254, 260, 261, 262, 263, 264, 265, 269, 270, 273, 274, 275, 276, 277, 278, 279, 280, 281, 282, 286, 287, 288, 290, 292, 293, 294, 295, 296, 297, 298, 299, 300, 301, 302, 304, 305, 306, 307, 308, 309, 310, 311, 312, 313, 314, 315, 317, 318, 319, 320, 321, 322, 324, 326, 327, 328, 329, 330, 331, 332, 333, 336, 337, 338, 339, 340, 341, 342, 343, 344, 345, 346, 347, 348, 349, 350, 351, 352, 353, 354, 355, 356, 358, 359, 360, 361, 362, 363, 364, 365, 366, 367, 369, 371, 372, 373, 374, 375, 376, 377, 378, 379, 380, 381, 383, 384, 385, 386, 387, 388, 389, 390, 391, 392, 392, 395, 396, 397, 398, 399, 400, 401, 402, 403, 404, 405, 406, 407, 408, 409, 410, 412, 413, 414, 415, 416, 418, 419, 420, 421, 422, 423, 424, 425, 426, 427, 428, 429, 430, 433, 434, 435, 436, 437, 438, 440, 441, 442, 443, 444, 445, 446, 447, 448, 449, 450, 451, 452, 453, 454, 456, 457, 458, 459, 460, 464, 465, 466, 467, 468, 469, 470, 471, 472, 473, 474, 475, 476, 477, 478, 479, 480, 481, 482, 483, 484, 485, 486, 487, 488, 489, 490, 491, 492, 493, 494, 495, 496, 497, 498, 499, 500, 501, 502, 503, 504, 505, 506, 507, 508, 509, 510, 511, 512, 513, 514, 515, 516, 517, 518, 519, 520, 521, 522, 523, 524, 525, 526, 527, 528, 529, 530, 531, 532, 534, 535, 536, 537, 538, 540, 542, 543, 544, 546, 547, 548, 549, 550, 552, 553, 554, 555, 556, 558, 559, 560, 561, 563, 564, 565, 567, 568, 569, 570, 571, 572, 574, 576, 577, 578, 580, 581, 582, 585, 586, 587, 588, 589, 590, 591, 592, 593, 594, 595, 596, 597, 598, 599, 600, 601, 602, 603, 604, 605, 606, 607, 608, 609, 610, 611, 612, 613, 614, 615, 616, 617, 618, 619, 622, 623, 624, 625, 626, 627, 628, 629, 630, 631, 632, 633, 634, 635, 636, 637, 638, 639, 640, 641, 642, 643, 644, 645, 646, 647, 650, 651, 652, 654, 656, 657, 658, 659, 660, 661, 662, 663, 664, 665, 666, 667, 668, 669, 671, 673, 674, 675, 677, 678, 679, 680, 682, 683, 684, 685, 686, 689, 690, 691, 692, 693, 694, 695, 696, 697, 698, 699, 700, 701, 702, 703, 704, 705, 706, 707, 708, 709, 713, 714, 715, 716, 717, 718, 719, 720, 721, 722, 724, 725, 726, 727, 728, 729, 730, 731, 732, 733, 734, 735, 736, 737, 738, 739, 740, 741, 742, 743, 746, 747, 749, 750, 751, 752, 753, 754, 757, 758, 759, 760, 762, 764, 765, 766, 767, 768, 769, 770, 771, 772, 774, 775, 776, 777, 778, 779, 780, 781, 782, 783, 784, 785, 786, 787, 788, 790, 792, 793, 794, 795, 796, 798, 799, 800, 801, 802, 803, 804, 805, 806, 807, 808, 809, 810, 811, 812, 813, 814, 815, 816, 817, 818, 819, 820, 821, 822, 823, 824, 825, 826, 827, 828, 829, 830, 831, 832, 833, 844, 845, 846, 847, 848, 855, 856, 857, 858, 859, 860, 861, 862, 865, 866, 867, 870
        )",569 row(s),,0.039 sec,,,,,,,,,
215,,,,,,,SQL45,"SELECT
    d.id AS distribution_id,
    d.`name` AS distribution_name,
    d.platform AS platform,
    SUM(imp) AS imp,
    SUM(click) AS click,
    COALESCE(
        SUM(TRUNCATE(ordered_pay * a_cr.ttm / m_cr.ttm, m_currency.decimal_point)),
        0
    ) AS total_pay
FROM
    smaad_main.base_report
INNER JOIN
    smaad_main.ad ON base_report.ad_id = ad.id
INNER JOIN
    smaad_main.distribution d ON ad.distribution_id = d.id
INNER JOIN
    smaad_main.campaign ON d.campaign_id = campaign.id 
    AND campaign.campaign_type IN (0, 1, 3)
INNER JOIN
    smaad_main.product ON campaign.product_id = product.id
INNER JOIN
    smaad_main.account a_ac ON product.account_id = a_ac.id
INNER JOIN
    smaad_main.zone FORCE INDEX (media_id) ON base_report.zone_id = zone.id
INNER JOIN
    smaad_main.media FORCE INDEX (account_id) ON zone.media_id = media.id
INNER JOIN
    smaad_main.account m_ac FORCE INDEX (PRIMARY) ON media.account_id = m_ac.id
INNER JOIN
    smaad_main.m_timezone tz ON m_ac.timezone_id = tz.id
INNER JOIN
    smaad_main.m_currency ON m_ac.currency_id = m_currency.id
INNER JOIN
    smaad_main.base_report_2_currency_rate br2cr FORCE INDEX (PRIMARY) ON base_report.id = br2cr.base_report_id
INNER JOIN
    smaad_main.currency_rate a_cr ON br2cr.ad_currency_rate_id = a_cr.id
INNER JOIN
    smaad_main.currency_rate m_cr ON br2cr.md_currency_rate_id = m_cr.id
WHERE
    base_report.deleted IS NULL
    AND media.account_id = 684039957
    AND ('2024-11-01 09:00:00' <= (base_report.target_datetime + INTERVAL tz.time_diff HOUR))
    AND ((base_report.target_datetime + INTERVAL tz.time_diff HOUR) <= '2024-11-08 09:00:00')
GROUP BY
    d.id
ORDER BY
    distribution_name ASC;",0 row(s),,0.401 sec,,,,,,,,,
216,,,,,,,SQL46,"SELECT
    base_report.ad_id AS ad_id,
    SUM(base_report.approved_of_ordered) AS approved_of_ordered,
    SUM(base_report.total_pay) AS total_pay,
    CASE 
        WHEN SUM(base_report.ordered_cv) > 0 THEN SUM(base_report.approved_of_ordered) / SUM(base_report.ordered_cv) 
        ELSE 0 
    END AS approval_rate  
FROM
    smaad_main.base_report      
INNER JOIN
    smaad_main.ad ON base_report.ad_id = ad.id      
INNER JOIN
    smaad_main.zone ON base_report.zone_id = zone.id      
INNER JOIN
    smaad_main.media ON zone.media_id = media.id      
INNER JOIN
    smaad_main.account m_ac ON media.account_id = m_ac.id      
INNER JOIN
    smaad_main.m_timezone tz ON m_ac.timezone_id = tz.id  
WHERE
    base_report.deleted IS NULL      
    AND media.account_id = 684039957      
    AND base_report.zone_id = 123332994      
    AND (
        base_report.target_datetime + INTERVAL tz.time_diff HOUR
    ) BETWEEN '2024-10-09 18:17:13' AND '2024-11-08 18:17:13'  
GROUP BY
    base_report.ad_id  
ORDER BY
    base_report.ad_id;",0 row(s),,0.032 sec,,,,,,,,,
217,,,,,,,SQL47,"SELECT
    batchmanag0_.id AS id1_0_,
    batchmanag0_.created_at AS created_2_0_,
    batchmanag0_.error_description AS error_de3_0_,
    batchmanag0_.execution_id AS executio4_0_,
    batchmanag0_.finish_at AS finish_a5_0_,
    batchmanag0_.job_name AS job_name6_0_,
    batchmanag0_.start_at AS start_at7_0_,
    batchmanag0_.status AS status8_0_ 
FROM
    offerwall_batch_production.batch_managements batchmanag0_ 
WHERE
    batchmanag0_.execution_id = 14569;",1 row(s),,0.042 sec,,,,,,,,,
218,,,,,,,SQL48,"UPDATE
    offerwall_batch_production.batch_managements 
SET
    created_at = '2024-11-08T08:58:54Z',
    error_description = '',
    execution_id = 14569,
    finish_at = '2024-11-08T09:18:28.918699Z',
    job_name = 'RELOAD_WALL_IMP_SORT_CACHE',
    start_at = '2024-11-08T08:58:54Z',
    status = 'COMPLETED'
WHERE
    id = 'ae0670c5-9daf-11ef-9f7d-9526adf08548';",1 row(s),,0.022 sec,,,,,,,,,
219,offer-wall-awsbatch-reload-wall-setting-content-cache,,,,,,SQL1,"SELECT
    batchmanag0_.id AS id1_0_0_,
    batchmanag0_.created_at AS created_2_0_0_,
    batchmanag0_.error_description AS error_de3_0_0_,
    batchmanag0_.execution_id AS executio4_0_0_,
    batchmanag0_.finish_at AS finish_a5_0_0_,
    batchmanag0_.job_name AS job_name6_0_0_,
    batchmanag0_.start_at AS start_at7_0_0_,
    batchmanag0_.status AS status8_0_0_ 
FROM
    offerwall_batch_production.batch_managements batchmanag0_ 
WHERE
    batchmanag0_.id = '0939af35-9d7e-11ef-9a44-91307202317f';",1 row(s),,0.022 sec,,SUCCESS,,,,"・HikariCPで「コネクションリーク」が検出(警告)
https://ap-northeast-1.console.aws.amazon.com/cloudwatch/home?region=ap-northeast-1#logsV2:log-groups/log-group/offer-wall.batch.amela.log/log-events/application%2Fdefault%2Fabfca6f996014774a5292ccb1d576e3a",Error: ER_NO_DB_ERROR: No database selected,,
220,,,,,,,SQL2,"INSERT INTO offerwall_batch_production.batch_managements
    (created_at, error_description, execution_id, finish_at, job_name, start_at, status, id) 
VALUES
    ('2024-11-08T03:03:31.800051Z', NULL, 14536, NULL, 'RELOAD_WALL_SETTING_CONTENT_CACHE', '2024-11-08T03:03:31.800025Z', 'EXECUTING', '0939af35-9d7e-11ef-9a44-91307202317f');",1 row(s),,0.016 sec,,SUCCESS,,,,,,,
221,,,,,,,SQL3,"SELECT
    w.zone_id  
FROM
    offerwall_production.wall_settings AS ws      
INNER JOIN
    smaad_main.wall AS w 
    ON w.id = ws.wall_id  
WHERE
    w.deleted IS NULL;
",580 row(s),,0.042 sec,,SUCCESS,,,,,,,
222,,,,,,,SQL4,"SELECT
    w.id AS id,
    ac.id AS account_id,
    CONCAT(ac.id, ' ', ac.`name`) AS account_info,
    m.id AS media_id,
    CONCAT(m.id, ' ', m.`name`) AS media_info,
    z.id AS zone_id,
    CONCAT(z.id, ' ', z.`name`) AS zone_info,
    w.wall_title AS wall_title,
    CONCAT(ROUND(ml.pay_ratio, 1), '%') AS pay_ratio,
    CONCAT(ml.coin_rate, 'コインあたり', ml.yen_rate, '円') AS rate_info,
    (CASE           
        WHEN ml.round_type = 1 THEN '切り捨て'          
        WHEN ml.round_type = 2 THEN '切り上げ'          
        WHEN ml.round_type = 3 THEN '四捨五入'          
        ELSE NULL       
    END) AS round_type,
    w.banner_img_url AS banner_img_url,
    w.banner_link_url AS banner_img_link,
    IF (w.coin_name IS NULL, '', w.coin_name) AS coin_name,
    z.is_test AS zone_test,
    ml.id AS media_linkage_id,
    z.publish_country AS publish_country  
FROM
    smaad_main.wall AS w      
INNER JOIN
    smaad_main.zone AS z 
    ON z.id = w.zone_id      
INNER JOIN
    smaad_main.media AS m 
    ON m.id = z.media_id      
INNER JOIN
    smaad_main.account AS ac 
    ON ac.id = m.account_id      
LEFT JOIN
    smaad_main.media_linkage AS ml 
    ON ml.zone_id = z.id  
WHERE
    w.zone_id = 123332994;",1 row(s),,0.025 sec,,SUCCESS,,,,,,,
223,,,,,,,SQL5,"SELECT
    wallsettin0_.id AS id1_48_,
    wallsettin0_.created_at AS created_2_48_,
    wallsettin0_.created_user AS created_3_48_,
    wallsettin0_.updated_at AS updated_4_48_,
    wallsettin0_.updated_user AS updated_5_48_,
    wallsettin0_.accept_tag_names AS accept_t6_48_,
    wallsettin0_.ad_course_count_selection AS ad_cours7_48_,
    wallsettin0_.addtional_menu_link AS addtiona8_48_,
    wallsettin0_.addtional_menu_title AS addtiona9_48_,
    wallsettin0_.allow_multi_course AS allow_m10_48_,
    wallsettin0_.button_color AS button_11_48_,
    wallsettin0_.close_button_setting_type AS close_b12_48_,
    wallsettin0_.close_button_setting_url AS close_b13_48_,
    wallsettin0_.contact_mail AS contact14_48_,
    wallsettin0_.custom_content AS custom_15_48_,
    wallsettin0_.daily_bonus_ad_id AS daily_b16_48_,
    wallsettin0_.design_id AS design_17_48_,
    wallsettin0_.display_addtional_menu AS display18_48_,
    wallsettin0_.display_download_history AS display19_48_,
    wallsettin0_.display_footer AS display20_48_,
    wallsettin0_.display_header AS display21_48_,
    wallsettin0_.display_menu AS display22_48_,
    wallsettin0_.display_menu_faq AS display23_48_,
    wallsettin0_.display_menu_inquiry AS display24_48_,
    wallsettin0_.display_menu_reward_history AS display25_48_,
    wallsettin0_.display_point_text AS display26_48_,
    wallsettin0_.display_search AS display27_48_,
    wallsettin0_.display_search_platform AS display28_48_,
    wallsettin0_.enable_search_multi_course AS enable_29_48_,
    wallsettin0_.filter_platform_type AS filter_30_48_,
    wallsettin0_.flag_color AS flag_co31_48_,
    wallsettin0_.footer_text AS footer_32_48_,
    wallsettin0_.header_color AS header_33_48_,
    wallsettin0_.home_button_enable AS home_bu34_48_,
    wallsettin0_.icon_color AS icon_co35_48_,
    wallsettin0_.is_deny_app_ad AS is_deny36_48_,
    wallsettin0_.label_color AS label_c37_48_,
    wallsettin0_.line_tab_color AS line_ta38_48_,
    wallsettin0_.main_color AS main_co39_48_,
    wallsettin0_.main_content1_icon AS main_co40_48_,
    wallsettin0_.main_content1_id AS main_co41_48_,
    wallsettin0_.main_content2_icon AS main_co42_48_,
    wallsettin0_.main_content2_id AS main_co43_48_,
    wallsettin0_.menu_background_color AS menu_ba44_48_,
    wallsettin0_.menu_enable AS menu_en45_48_,
    wallsettin0_.menu_text_color AS menu_te46_48_,
    wallsettin0_.minimum_user_reward AS minimum47_48_,
    wallsettin0_.point_display_style AS point_d48_48_,
    wallsettin0_.point_text AS point_t49_48_,
    wallsettin0_.price_max AS price_m50_48_,
    wallsettin0_.price_min AS price_m51_48_,
    wallsettin0_.reject_tag_names AS reject_52_48_,
    wallsettin0_.search_date AS search_53_48_,
    wallsettin0_.search_multi_course AS search_54_48_,
    wallsettin0_.search_name AS search_55_48_,
    wallsettin0_.search_price AS search_56_48_,
    wallsettin0_.selected_popup_id AS selecte57_48_,
    wallsettin0_.selected_template_id AS selecte58_48_,
    wallsettin0_.sub_color AS sub_col59_48_,
    wallsettin0_.tag_name_accept_type AS tag_nam60_48_,
    wallsettin0_.text_header_icon_color AS text_he61_48_,
    wallsettin0_.tick_point AS tick_po62_48_,
    wallsettin0_.title_color AS title_c63_48_,
    wallsettin0_.video_reward_ad_id AS video_r64_48_,
    wallsettin0_.video_reward_ad_id_android AS video_r65_48_,
    wallsettin0_.video_reward_ad_id_ios AS video_r66_48_,
    wallsettin0_.video_reward_id AS video_r67_48_,
    wallsettin0_.video_reward_id_android AS video_r68_48_,
    wallsettin0_.video_reward_id_ios AS video_r69_48_,
    wallsettin0_.wall_id AS wall_id70_48_,
    wallsettin0_.wall_type AS wall_ty71_48_ 
FROM
    offerwall_production.wall_settings wallsettin0_ 
WHERE
    wallsettin0_.wall_id = 4;",1 row(s),,0.023 sec,,,,,,,,,
224,,,,,,,SQL6,"SELECT
    wallsettin0_.id AS id1_46_,
    wallsettin0_.created_at AS created_2_46_,
    wallsettin0_.created_user AS created_3_46_,
    wallsettin0_.updated_at AS updated_4_46_,
    wallsettin0_.updated_user AS updated_5_46_,
    wallsettin0_.display_menu AS display_6_46_,
    wallsettin0_.link_type AS link_typ7_46_,
    wallsettin0_.menu_link AS menu_lin8_46_,
    wallsettin0_.menu_title AS menu_tit9_46_,
    wallsettin0_.pickup_id AS pickup_10_46_,
    wallsettin0_.position AS positio11_46_,
    wallsettin0_.wall_setting_id AS wall_se12_46_ 
FROM
    offerwall_production.wall_setting_additional_menus wallsettin0_ 
WHERE
    wallsettin0_.wall_setting_id = '1';",4 row(s),,0.024 sec,,,,,,,,,
225,,,,,,,SQL7,"SELECT
    wallsettin0_.id AS id1_47_,
    wallsettin0_.created_at AS created_2_47_,
    wallsettin0_.created_user AS created_3_47_,
    wallsettin0_.updated_at AS updated_4_47_,
    wallsettin0_.updated_user AS updated_5_47_,
    wallsettin0_.align_type AS align_ty6_47_,
    wallsettin0_.background_color AS backgrou7_47_,
    wallsettin0_.display AS display8_47_,
    wallsettin0_.display_background AS display_9_47_,
    wallsettin0_.display_column AS display10_47_,
    wallsettin0_.fixed_type AS fixed_t11_47_,
    wallsettin0_.text_color AS text_co12_47_,
    wallsettin0_.wall_setting_id AS wall_se13_47_ 
FROM
    offerwall_production.wall_setting_display_fixeds wallsettin0_ 
WHERE
    wallsettin0_.wall_setting_id = '1';",2 row(s),,0.038 sec,,,,,,,,,
226,,,,,,,SQL8,"SELECT
    customicon0_.id AS id1_27_,
    customicon0_.created_at AS created_2_27_,
    customicon0_.created_user AS created_3_27_,
    customicon0_.updated_at AS updated_4_27_,
    customicon0_.updated_user AS updated_5_27_,
    customicon0_.default_icon_id AS default_6_27_,
    customicon0_.display_icon AS display_7_27_,
    customicon0_.enable_color AS enable_c8_27_,
    customicon0_.feature_type AS feature_9_27_,
    customicon0_.icon_type AS icon_ty10_27_,
    customicon0_.linkable_type AS linkabl11_27_,
    customicon0_.name AS name12_27_,
    customicon0_.pickup_id AS pickup_13_27_,
    customicon0_.position AS positio14_27_,
    customicon0_.position_type AS positio15_27_,
    customicon0_.url AS url16_27_,
    customicon0_.wall_setting_display_fixed_id AS wall_se17_27_,
    customicon0_.wall_setting_id AS wall_se18_27_ 
FROM
    offerwall_production.custom_icons customicon0_ 
WHERE
    customicon0_.wall_setting_id = '1';",11 row(s),,0.054 sec,,,,,,,,,
227,,,,,,,SQL9,"SELECT
    categoryta0_.id AS id1_5_,
    categoryta0_.created_at AS created_2_5_,
    categoryta0_.created_user AS created_3_5_,
    categoryta0_.updated_at AS updated_4_5_,
    categoryta0_.updated_user AS updated_5_5_,
    categoryta0_.display_search AS display_6_5_,
    categoryta0_.name AS name7_5_,
    categoryta0_.tags AS tags8_5_,
    categoryta0_.wall_setting_id AS wall_set9_5_ 
FROM
    offerwall_production.category_tags categoryta0_ 
WHERE
    categoryta0_.wall_setting_id = '66776482-ae93-11ee-a631-0fdbd687721a';
",2 row(s),,0.034 sec,,,,,,,,,
228,,,,,,,SQL10,"SELECT
    * 
FROM
    offerwall_production.active_storage_attachments  
WHERE
    (
        record_type = 'WallSetting' 
        AND record_id = '1'
    )      
    OR (
        record_type = 'CustomIcon' 
        AND record_id IN (NULL)
    );",1 row(s),,0.036 sec,,,,,,,,,
